,combo_rep_1,combo_rep_2,combo_rep_3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
hsa-miR-34b-5p + hsa-miR-873-5p,0.041863489320932104,0.03151606937444097,0.023122540300980536,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-135b-5p + hsa-miR-452-5p,0.26547480040252575,0.352395876003295,0.4523496582742431,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-103a-3p + hsa-miR-452-5p,0.7762130452429454,0.5700544072742674,0.5216374344790232,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-3714 + hsa-miR-3937,0.02545760092578527,0.09338176856904964,0.055814713934863994,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-363-3p + hsa-miR-3937,0.20277123322933216,0.25363984827994823,0.3389548793476055,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-20b-5p + hsa-miR-3937,0.3043150558297058,0.6090621900940023,0.5534398340415378,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-106a-5p + hsa-miR-3714,0.17201328880558067,0.10912468508916842,0.10374539246724046,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-3714 + hsa-miR-93-5p,0.10945668708281013,0.04844967864151486,0.05937803758578788,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-2110 + hsa-miR-450b-3p,0.027026279946599154,0.05521390053832187,0.039319654504504205,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-196a-5p + hsa-miR-2110,0.03696215261934814,0.031823081235631004,0.016961308745050176,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-10b-5p + hsa-miR-2110,0.008738251100856577,0.02050690316990713,0.023010054360419082,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-128-3p + hsa-miR-363-3p,0.3667457481887082,0.31241312775345176,0.4388552215544033,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
hsa-miR-128-3p + hsa-miR-20b-5p,0.5161912921459193,0.7063780039369775,0.3975858532484516,0.13540008547869412,0.11012716857041016,0.20283983812499148,0.21009201181025766,0.3490407694226071,0.11703032968082046,0.20803899646462734,0.12055785984457146,0.19286133835568275,0.3236205001076988,0.2174668577465221,0.24270457800849599,0.25997795629843645,0.20189438655113962,0.31833416061792696,0.3470376731038064,0.08848979380448355,0.17612547432674713,0.22087593840384284,0.2934778161144945,0.14840040988869221,0.26755428281499094,0.31618863281252085,0.32335861321827053,0.1325658786361924,0.2634933364448749,0.16966084736681833,0.22462014859176355,0.20283873372910283,0.1883283682053724,0.13247060936086372,0.19435664145139658,0.1470149675091053,0.28525716457628447,0.2830199997457898,0.2881466529087277,0.31912553887123296,0.22054226464768956,0.4038950410327968,0.3349347153584038,0.21093367840726812,0.2325302168843598,0.23153537951393105,0.35650736651974063,0.19131674821734268,0.2447187890061601,0.33605386388450814,0.2234712065456212,0.13751164529138415,0.18391998533187498,0.1668252406618633,0.1192850886401157,0.24170605456675914,0.15681829517209794,0.11507395934136488,0.21732127934710915,0.17052505220490669,0.1234939224593472,0.14531660382759432,0.1685603614659604,0.1908486534753088,0.1447602893320179,0.28257543583260497,0.2241333033727706,0.18850174568217098,0.1755142525009436,0.25183218826444964,0.12823655317786825,0.14157305990510574,0.12656069142965656,0.1768310094788093,0.19328869480525138,0.12039606097314097,0.17863565288968167,0.09493348529804797,0.09132843251896866,0.16454973824068655,0.18717485047311733,0.13611588275228956,0.2533027836802656,0.10898817759106424,0.24893567877617553,0.10880735107211403,0.22710143680013103,0.17317791270816507,0.5052364253366447,0.21390945761658126,0.202582932534499,0.10169835423515114,0.17673004433273148,0.20204462855138003,0.2151165132316919,0.22885454067647032,0.22645884411848333,0.16382475330198223,0.22424888857303288
